rank,name,logo,wins,losses,extended_wins,extended_losses,extended_percentage
70,Nevada,nevada.png,7,5,25,24,0.5102
71,Boston College,boston-college.png,6,6,26,26,0.5
72,Colorado,colorado.png,5,7,27,31,0.46552
73,Toledo,toledo.png,6,6,30,37,0.44776
74,Tulsa,tulsa.png,4,8,25,31,0.44643
75,Illinois,illinois.png,6,6,24,30,0.44444
76,Kent State,kent-st.png,6,6,21,27,0.4375
77,South Carolina,south-carolina.png,4,8,21,27,0.4375
78,Washington State,washington-st.png,6,6,20,26,0.43478
79,Ohio,ohio.png,6,6,21,28,0.42857
80,Texas Christian,tcu.png,5,7,18,24,0.42857
81,Missouri,missouri.png,6,6,20,27,0.42553
82,Oregon State,oregon-st.png,5,7,22,30,0.42308
83,Nebraska,nebraska.png,5,7,19,26,0.42222
84,Duke,duke.png,5,7,21,29,0.42
85,UCLA,ucla.png,4,8,22,31,0.41509
86,Eastern Michigan,eastern-mich.png,6,6,23,33,0.41071
87,Syracuse,syracuse.png,5,7,27,39,0.40909
88,Louisiana-Monroe,la-monroe.png,5,7,17,25,0.40476
89,Ball State,ball-st.png,5,7,24,36,0.4
90,West Virginia,west-virginia.png,5,7,20,30,0.4
91,Florida International,fiu.png,6,6,16,28,0.36364
92,South Florida,south-fla.png,4,8,13,25,0.34211
93,Liberty,liberty.png,7,5,14,27,0.34146
94,Stanford,stanford.png,4,8,19,37,0.33929
95,Northern Illinois,northern-ill.png,5,7,19,39,0.32759
96,Purdue,purdue.png,4,8,14,31,0.31111
97,Houston,houston.png,4,8,10,23,0.30303
98,San Jose State,san-jose-st.png,5,7,13,31,0.29545
99,Fresno State,fresno-st.png,4,8,15,36,0.29412
100,Coastal Carolina,coastal-caro.png,5,7,12,31,0.27907
101,Troy,troy.png,5,7,12,31,0.27907
102,Arizona,arizona.png,4,8,13,36,0.26531
103,Middle Tennessee State,middle-tenn.png,4,8,15,42,0.26316
104,Texas Tech,texas-tech.png,4,8,14,40,0.25926
105,Nevada-Las Vegas,unlv.png,4,8,15,43,0.25862
106,Georgia Tech,georgia-tech.png,3,9,14,42,0.25
107,North Carolina State,north-carolina-st.png,4,8,14,43,0.24561
108,Northwestern,northwestern.png,3,9,11,40,0.21569
109,Army,army.png,5,7,8,31,0.20513
110,Colorado State,colorado-st.png,4,8,10,39,0.20408
111,Mississippi,ole-miss.png,4,8,7,28,0.2
112,Vanderbilt,vanderbilt.png,3,9,11,45,0.19643
113,Kansas,kansas.png,3,9,10,41,0.19608
114,North Texas,north-texas.png,4,8,9,40,0.18367
115,Rice,rice.png,3,9,9,40,0.18367
116,Texas State,texas-st.png,3,9,9,41,0.18
117,Rutgers,rutgers.png,2,10,8,41,0.16327
118,Maryland,maryland.png,3,9,7,36,0.16279
119,Bowling Green State,bowling-green.png,3,9,6,40,0.13043
120,South Alabama,south-ala.png,2,10,7,47,0.12963
121,Texas-San Antonio,utsa.png,4,8,5,35,0.125
122,Arkansas,arkansas.png,2,10,4,46,0.08
123,East Carolina,east-carolina.png,4,8,3,37,0.075
124,New Mexico,new-mexico.png,2,10,2,44,0.04348
125,Connecticut,uconn.png,2,10,1,51,0.01923
126,New Mexico State,new-mexico-st.png,2,10,1,56,0.01754
127,Old Dominion,old-dominion.png,1,11,0,56,0.0
128,Texas-El Paso,utep.png,1,11,0,70,0.0
129,Massachusetts,massachusetts.png,1,11,0,79,0.0
130,Akron,akron.png,0,12,0,75,0.0
