Rk,Wk,Winner,WPts,Loc,Loser,LPts
1,1,(8) Florida,24,N,Miami (FL),20
2,1,Hawaii,45,,Arizona,38
3,2,Alabama-Birmingham,24,,Alabama State,19
4,2,Arizona State,30,,Kent State,7
5,2,Bowling Green,46,,Morgan State,3
6,2,Buffalo,38,,Robert Morris,10
7,2,Central Arkansas,35,@,Western Kentucky,28
8,2,(17) Central Florida,62,,Florida A&M,0
9,2,Central Michigan,38,,Albany,21
10,2,Charlotte,49,,Gardner-Webb,28
11,2,Cincinnati,24,,UCLA,14
12,2,(1) Clemson,52,,Georgia Tech,14
13,2,Connecticut,24,,Wagner,21
14,2,Minnesota,28,,South Dakota State,21
15,2,San Jose State,35,,Northern Colorado,18
16,2,(12) Texas A&M,41,,Texas State,7
17,2,Tulane,42,,Florida International,14
18,2,(14) Utah,30,@,Brigham Young,12
19,2,Army,14,,Rice,7
20,2,Colorado,52,N,Colorado State,31
21,2,(18) Michigan State,28,,Tulsa,7
22,2,Nevada,34,,Purdue,31
23,2,Oklahoma State,52,@,Oregon State,36
24,2,Rutgers,48,,Massachusetts,21
25,2,Wake Forest,38,,Utah State,35
26,2,(19) Wisconsin,49,@,South Florida,0
27,2,Air Force,48,,Colgate,7
28,2,(2) Alabama,42,N,Duke,3
29,2,Appalachian State,42,,East Tennessee State,7
30,2,Arkansas,20,,Portland State,13
31,2,(16) Auburn,27,N,(11) Oregon,21
32,2,Baylor,56,,Stephen F. Austin,17
33,2,Boise State,36,@,Florida State,31
34,2,Boston College,35,,Virginia Tech,28
35,2,California,27,,California-Davis,13
36,2,Eastern Michigan,30,@,Coastal Carolina,23
37,2,(3) Georgia,30,@,Vanderbilt,6
38,2,Georgia State,38,@,Tennessee,30
39,2,Illinois,42,,Akron,3
40,2,Indiana,34,N,Ball State,24
41,2,(20) Iowa,38,,Miami (OH),14
42,2,(21) Iowa State,29,,Northern Iowa,26
43,2,Kansas,24,,Indiana State,17
44,2,Kansas State,49,,Nicholls State,14
45,2,Kentucky,38,,Toledo,24
46,2,(6) Louisiana State,55,,Georgia Southern,3
47,2,Louisiana-Monroe,31,,Grambling State,9
48,2,Marshall,56,,Virginia Military Institute,17
49,2,Maryland,79,,Howard,0
50,2,Memphis,15,,Mississippi,10
51,2,(7) Michigan,40,,Middle Tennessee State,21
52,2,Mississippi State,38,N,Louisiana,28
53,2,Navy,45,,Holy Cross,7
54,2,(24) Nebraska,35,,South Alabama,21
55,2,Nevada-Las Vegas,56,,Southern Utah,23
56,2,New Mexico,39,,Sam Houston State,31
57,2,North Carolina,24,N,South Carolina,20
58,2,North Carolina State,34,,East Carolina,6
59,2,North Texas,51,,Abilene Christian,31
60,2,Northern Illinois,24,,Illinois State,10
61,2,Ohio,41,,Rhode Island,20
62,2,(5) Ohio State,45,,Florida Atlantic,21
63,2,Old Dominion,24,,Norfolk State,21
64,2,(15) Penn State,79,,Idaho,7
65,2,San Diego State,6,,Weber State,0
66,2,Southern California,31,,Fresno State,23
67,2,Southern Methodist,37,@,Arkansas State,30
68,2,Southern Mississippi,38,,Alcorn State,10
69,2,(25) Stanford,17,,Northwestern,7
70,2,(22) Syracuse,24,@,Liberty,0
71,2,Temple,56,,Bucknell,12
72,2,(10) Texas,45,,Louisiana Tech,14
73,2,Texas Christian,39,,Arkansas-Pine Bluff,7
74,2,Texas Tech,45,,Montana State,10
75,2,Texas-El Paso,36,,Houston Baptist,34
76,2,Texas-San Antonio,35,,Incarnate Word,7
77,2,Troy,43,,Campbell,14
78,2,Virginia,30,@,Pittsburgh,14
79,2,(13) Washington,47,,Eastern Washington,14
80,2,(23) Washington State,58,,New Mexico State,7
81,2,West Virginia,20,,James Madison,13
82,2,Western Michigan,48,,Monmouth,13
83,2,Wyoming,37,,Missouri,31
