Rk,Wk,Winner,WPts,,Loser,LPts
140,3,Mississippi State,0,@,Arizona,0
141,3,Missouri,0,@,Kansas State,0
142,3,Nevada-Las Vegas,0,@,California,0
143,3,New Mexico State,0,@,Texas-El Paso,0
144,3,Nicholls State,0,@,Louisiana-Monroe,0
145,3,Norfolk State,0,@,James Madison,0
146,3,North Carolina,0,@,Georgia State,0
147,3,Northern Colorado,0,@,Wyoming,0
148,3,Northern Illinois,0,@,Tulsa,0
149,3,Ohio,0,@,Penn State,0
150,3,Old Dominion,0,@,East Carolina,0
151,3,Oregon State,0,@,Fresno State,0
152,3,Portland State,0,@,Washington,0
153,3,Robert Morris,0,@,Miami (OH),0
154,3,Samford,0,@,(3) Georgia,0
155,3,San Jose State,0,@,Auburn,0
156,3,South Alabama,0,@,Central Michigan,0
157,3,South Carolina,0,@,(19) Arkansas,0
158,3,Southeastern Louisiana,0,@,Florida Atlantic,0
159,3,Southern,0,@,Louisiana State,0
160,3,(14) Southern California,0,@,Stanford,0
161,3,Southern Mississippi,0,@,(16) Miami (FL),0
162,3,Southern Utah,0,@,(7) Utah,0
163,3,Stephen F. Austin,0,@,Louisiana Tech,0
164,3,Syracuse,0,@,Connecticut,0
165,3,Tarleton State,0,@,Texas Christian,0
166,3,Tennessee,0,@,(17) Pittsburgh,0
167,3,Texas Southern,0,@,North Texas,0
168,3,Texas-San Antonio,0,@,Army,0
169,3,Virginia,0,@,Illinois,0
170,3,Wagner,0,@,Rutgers,0
171,3,(22) Wake Forest,0,@,Vanderbilt,0
172,3,Washington State,0,@,(18) Wisconsin,0
173,3,Weber State,0,@,Utah State,0
174,3,Western Carolina,0,@,Georgia Tech,0
175,3,Western Illinois,0,@,Minnesota,0
176,3,Western Michigan,0,@,Ball State,0
177,4,Air Force,0,@,Wyoming,0
178,4,Florida State,0,@,Louisville,0
179,4,Abilene Christian,0,@,Missouri,0
180,4,Akron,0,@,Tennessee,0
181,4,Arkansas State,0,@,Memphis,0
182,4,Arkansas-Pine Bluff,0,@,(12) Oklahoma State,0
183,4,(25) Brigham Young,0,@,(11) Oregon,0
184,4,Bucknell,0,@,Central Michigan,0
185,4,Buffalo,0,@,Coastal Carolina,0
186,4,California,0,@,(5) Notre Dame,0
187,4,Campbell,0,@,East Carolina,0
188,4,Central Florida,0,@,Florida Atlantic,0
189,4,Charlotte,0,@,Georgia State,0
190,4,Colorado,0,@,Minnesota,0
191,4,Colorado State,0,@,Washington State,0
192,4,Connecticut,0,@,(8) Michigan,0
193,4,Eastern Michigan,0,@,Arizona State,0
194,4,Fresno State,0,@,(14) Southern California,0
195,4,(3) Georgia,0,@,South Carolina,0
196,4,Georgia Southern,0,@,Alabama-Birmingham,0
197,4,Jacksonville State,0,@,Tulsa,0
198,4,Kansas,0,@,(24) Houston,0
199,4,Liberty,0,@,(22) Wake Forest,0
200,4,Long Island,0,@,Kent State,0
201,4,Louisiana,0,@,Rice,0
202,4,Louisiana Tech,0,@,(4) Clemson,0
203,4,Louisiana-Monroe,0,@,(1) Alabama,0
204,4,Maine,0,@,Boston College,0
205,4,Marshall,0,@,Bowling Green,0
206,4,(16) Miami (FL),0,@,(6) Texas A&M,0
207,4,Miami (OH),0,N,(23) Cincinnati,0
208,4,(15) Michigan State,0,@,Washington,0
209,4,(21) Mississippi,0,@,Georgia Tech,0
210,4,Mississippi State,0,@,Louisiana State,0
211,4,Missouri State,0,@,(19) Arkansas,0
212,4,Murray State,0,@,Ball State,0
213,4,Nevada,0,@,Iowa,0
214,4,New Mexico State,0,@,(18) Wisconsin,0
215,4,North Carolina A&T,0,@,Duke,0
216,4,North Dakota State,0,@,Arizona,0
217,4,North Texas,0,@,Nevada-Las Vegas,0
218,4,Northwestern State,0,@,Southern Mississippi,0
219,4,Ohio,0,@,Iowa State,0
220,4,(9) Oklahoma,0,@,Nebraska,0
221,4,Old Dominion,0,@,Virginia,0
222,4,Oregon State,0,N,Montana State,0
223,4,Penn State,0,@,Auburn,0
224,4,(17) Pittsburgh,0,@,Western Michigan,0
225,4,Purdue,0,@,Syracuse,0
226,4,Rutgers,0,@,Temple,0
227,4,San Diego State,0,@,(7) Utah,0
228,4,South Alabama,0,@,UCLA,0
229,4,South Florida,0,@,Florida,0
230,4,Southern Illinois,0,@,Northwestern,0
231,4,Southern Methodist,0,@,Maryland,0
232,4,Stony Brook,0,@,Massachusetts,0
233,4,Tennessee State,0,@,Middle Tennessee State,0
234,4,Tennessee-Martin,0,@,Boise State,0
235,4,Texas State,0,@,(10) Baylor,0
236,4,Texas Tech,0,@,(13) North Carolina State,0
237,4,Texas-El Paso,0,@,New Mexico,0
238,4,Texas-San Antonio,0,@,Texas,0
239,4,Toledo,0,@,(2) Ohio State,0
240,4,Towson,0,@,West Virginia,0
241,4,Troy,0,@,Appalachian State,0
242,4,Tulane,0,@,Kansas State,0
243,4,Vanderbilt,0,@,Northern Illinois,0
244,4,Villanova,0,@,Army,0
245,4,Western Kentucky,0,@,Indiana,0
246,4,Wofford,0,@,Virginia Tech,0
247,4,Youngstown State,0,@,(20) Kentucky,0
248,4,Duquesne,0,@,Hawaii,0
249,5,Chattanooga,0,@,Illinois,0
250,5,Coastal Carolina,0,@,Georgia State,0
251,5,West Virginia,0,@,Virginia Tech,0
252,5,Boise State,0,@,Texas-El Paso,0
253,5,Nevada,0,@,Air Force,0
254,5,Virginia,0,@,Syracuse,0
255,5,Akron,0,@,Liberty,0
256,5,Arizona,0,@,California,0
257,5,Arkansas State,0,@,Old Dominion,0
258,5,Ball State,0,@,Georgia Southern,0
