Rk,Wk,Winner,WPts,Loc,Loser,LPts
140,3,Navy,38,,Alabama-Birmingham,24
141,3,Nebraska,68,,Akron,0
142,3,Nevada,20,,Sacramento State,17
143,3,Nevada-Las Vegas,30,,UCLA,23
144,3,New Mexico,32,,Idaho State,22
145,3,New Mexico State,21,,Tulsa,14
146,3,North Carolina,20,@,Charlotte,3
147,3,North Carolina State,35,,Virginia,31
148,3,North Texas,33,@,Western Michigan,30
149,3,Ohio,17,,West Virginia,10
150,3,(1) Ohio State,70,,Grambling State,0
151,3,(18) Oklahoma,24,,(15) Michigan,13
152,3,Old Dominion,54,,North Carolina Central,6
153,3,(6) Oregon,69,,Oklahoma State,3
154,3,(2) Penn State,34,,Florida International,0
155,3,Pittsburgh,45,,Central Michigan,17
156,3,Purdue,34,,Southern Illinois,17
157,3,Rutgers,45,,Miami (OH),17
158,3,(10) South Carolina,38,,South Carolina State,10
159,3,South Florida,18,@,(13) Florida,16
160,3,Southern California,59,,Georgia Southern,20
161,3,Southern Mississippi,38,,Jackson State,20
162,3,Syracuse,27,,Connecticut,20
163,3,Temple,55,,Howard,7
164,3,(22) Tennessee,72,,East Tennessee State,17
165,3,(7) Texas,38,,San Jose State,7
166,3,(19) Texas A&M,44,,Utah State,22
167,3,Texas State,43,@,Texas-San Antonio,36
168,3,(24) Texas Tech,62,,Kent State,14
169,3,Texas-El Paso,42,,Tennessee-Martin,17
170,3,Toledo,45,,Western Kentucky,21
171,3,Tulane,33,@,South Alabama,31
172,3,(25) Utah,63,,Cal Poly,9
173,3,Vanderbilt,44,@,Virginia Tech,20
174,3,Wake Forest,42,,Western Carolina,10
175,3,Washington,70,,California-Davis,10
176,3,Washington State,36,,San Diego State,13
177,3,Wisconsin,42,,Middle Tennessee State,10
178,3,Wyoming,31,,Northern Iowa,7
179,3,Hawaii,37,,Sam Houston,20
180,4,North Carolina State,34,@,Wake Forest,24
181,4,Arizona,23,,Kansas State,17
182,4,Houston,36,,Colorado,20
183,4,(22) Indiana,73,,Indiana State,0
184,4,New Mexico,35,@,UCLA,10
185,4,Syracuse,66,,Colgate,24
186,4,(19) Alabama,38,,Wisconsin,14
187,4,Alabama-Birmingham,31,,Akron,28
188,4,Arizona State,34,,Texas State,15
189,4,(24) Auburn,31,,South Alabama,15
190,4,Ball State,34,,New Hampshire,29
191,4,Baylor,42,,Samford,7
192,4,Bowling Green,23,,Liberty,13
193,4,Buffalo,31,@,Kent State,28
194,4,California,27,,Minnesota,14
195,4,Charlotte,42,,Monmouth,35
196,4,Cincinnati,70,,Northwestern State,0
197,4,Delaware,44,,Connecticut,41
198,4,East Carolina,38,@,Coastal Carolina,0
199,4,Florida International,38,,Florida Atlantic,28
200,4,Fresno State,56,,Southern,7
201,4,(6) Georgia,44,@,(15) Tennessee,41
202,4,Georgia Southern,41,,Jacksonville State,34
203,4,Georgia State,37,,Murray State,21
204,4,Georgia Tech,24,,(12) Clemson,21
205,4,(9) Illinois,38,,Western Michigan,0
206,4,Iowa,47,,Massachusetts,7
