index,abbreviation,name,conference
0,air-force,Air Force,mw
1,akron,Akron,mac
2,alabama,Alabama,sec
3,appalachian-st,Appalachian State,sb
4,arizona,Arizona,b12
5,arizona-st,Arizona State,b12
6,arkansas,Arkansas,sec
7,arkansas-st,Arkansas State,sb
8,army,Army,aac
9,auburn,Auburn,sec
10,ball-st,Ball State,mac
11,baylor,Baylor,b12
12,boise-st,Boise State,mw
13,boston-college,Boston College,acc
14,bowling-green,Bowling Green,mac
15,buffalo,Buffalo,mac
16,byu,Brigham Young,b12
17,california,California,acc
18,central-mich,Central Michigan,mac
19,charlotte,Charlotte,aac
20,cincinnati,Cincinnati,b12
21,clemson,Clemson,acc
22,coastal-caro,Coastal Carolina,sb
23,colorado,Colorado,b12
24,colorado-st,Colorado State,mw
25,delaware,Delaware,cusa
26,duke,Duke,acc
27,east-carolina,East Carolina,aac
28,eastern-mich,Eastern Michigan,mac
29,florida,Florida,sec
30,fla-atlantic,Florida Atlantic,aac
31,fiu,Florida International,cusa
32,florida-st,Florida State,acc
33,fresno-st,Fresno State,mw
34,georgia,Georgia,sec
35,ga-southern,Georgia Southern,sb
36,georgia-st,Georgia State,sb
37,georgia-tech,Georgia Tech,acc
38,hawaii,Hawaii,mw
39,houston,Houston,b12
40,illinois,Illinois,b10
41,indiana,Indiana,b10
42,iowa,Iowa,b10
43,iowa-st,Iowa State,b12
44,jacksonville-st,Jacksonville State,cusa
45,james-madison,James Madison,sb
46,kansas,Kansas,b12
47,kansas-st,Kansas State,b12
48,kent-st,Kent State,mac
49,kentucky,Kentucky,sec
50,kennesaw-st,Kennesaw State,cusa
51,louisiana-tech,Louisiana Tech,cusa
52,la-lafayette,Louisiana,sb
53,la-monroe,Louisiana-Monroe,sb
54,liberty,Liberty,cusa
55,louisville,Louisville,acc
56,lsu,Louisiana State,sec
57,marshall,Marshall,sb
58,maryland,Maryland,b10
59,massachusetts,Massachusetts,mac
60,memphis,Memphis,aac
61,miami-fl,Miami (FL),acc
62,miami-oh,Miami (OH),mac
63,michigan,Michigan,b10
64,michigan-st,Michigan State,b10
65,middle-tenn,Middle Tennessee State,cusa
66,minnesota,Minnesota,b10
67,mississippi-st,Mississippi State,sec
68,missouri,Missouri,sec
69,missouri-st,Missouri State,cusa
70,navy,Navy,aac
71,nebraska,Nebraska,b10
72,nevada,Nevada,mw
73,new-mexico,New Mexico,mw
74,new-mexico-st,New Mexico State,cusa
75,north-carolina,North Carolina,acc
76,north-carolina-st,North Carolina State,acc
77,north-texas,North Texas,aac
78,northern-ill,Northern Illinois,mac
79,northwestern,Northwestern,b10
80,notre-dame,Notre Dame,ind
81,ohio,Ohio,mac
82,ohio-st,Ohio State,b10
83,oklahoma,Oklahoma,sec
84,oklahoma-st,Oklahoma State,b12
85,old-dominion,Old Dominion,sb
86,ole-miss,Mississippi,sec
87,oregon,Oregon,b10
88,oregon-st,Oregon State,p12
89,penn-st,Penn State,b10
90,pittsburgh,Pittsburgh,acc
91,purdue,Purdue,b10
92,rice,Rice,aac
93,rutgers,Rutgers,b10
94,sam-houston,Sam Houston,cusa
95,san-diego-st,San Diego State,mw
96,san-jose-st,San Jose State,mw
97,smu,Southern Methodist,acc
98,south-ala,South Alabama,sb
99,south-carolina,South Carolina,sec
100,south-fla,South Florida,aac
101,southern-miss,Southern Mississippi,sb
102,stanford,Stanford,acc
103,syracuse,Syracuse,acc
104,tcu,Texas Christian,b12
105,temple,Temple,aac
106,tennessee,Tennessee,sec
107,texas,Texas,sec
108,texas-am,Texas A&M,sec
109,texas-st,Texas State,sb
110,texas-tech,Texas Tech,b12
111,toledo,Toledo,mac
112,troy,Troy,sb
113,tulane,Tulane,aac
114,tulsa,Tulsa,aac
115,uab,Alabama-Birmingham,aac
116,uconn,Connecticut,ind
117,ucf,Central Florida,b12
118,ucla,UCLA,b10
119,unlv,Nevada-Las Vegas,mw
120,southern-california,Southern California,b10
121,utah,Utah,b12
122,utah-st,Utah State,mw
123,utep,Texas-El Paso,cusa
124,utsa,Texas-San Antonio,aac
125,vanderbilt,Vanderbilt,sec
126,virginia,Virginia,acc
127,virginia-tech,Virginia Tech,acc
128,wake-forest,Wake Forest,acc
129,washington,Washington,b10
130,washington-st,Washington State,p12
131,west-virginia,West Virginia,b12
132,western-ky,Western Kentucky,cusa
133,western-mich,Western Michigan,mac
134,wisconsin,Wisconsin,b10
135,wyoming,Wyoming,mw
136,fcs,FCS,fcs
