Rk,Wk,Winner,WPts,,Loser,LPts
49,2,(3) Georgia,49,N,(11) Oregon,3
50,2,Georgia Southern,59,,Morgan State,7
51,2,(24) Houston,37,@,Texas-San Antonio,35
52,2,Iowa,7,,South Dakota State,3
53,2,Iowa State,42,,Southeast Missouri State,10
54,2,James Madison,44,,Middle Tennessee State,7
55,2,Kansas State,34,,South Dakota,0
56,2,(20) Kentucky,37,,Miami (OH),13
57,2,Liberty,29,@,Southern Mississippi,27
58,2,Louisiana,24,,Southeastern Louisiana,7
59,2,Marshall,55,,Norfolk State,3
60,2,Maryland,31,,Buffalo,10
61,2,(16) Miami (FL),70,,Bethune-Cookman,13
62,2,(8) Michigan,51,,Colorado State,7
63,2,(21) Mississippi,28,,Troy,10
64,2,Mississippi State,49,,Memphis,23
65,2,Nebraska,38,,North Dakota,17
66,2,Nevada,38,,Texas State,14
67,2,New Mexico,41,,Maine,0
68,2,North Carolina,63,@,Appalachian State,61
69,2,(13) North Carolina State,21,@,East Carolina,20
70,2,Ohio,41,,Florida Atlantic,38
71,2,(2) Ohio State,21,,(5) Notre Dame,10
72,2,(9) Oklahoma,45,,Texas-El Paso,13
73,2,Oregon State,34,,Boise State,17
74,2,Rutgers,22,@,Boston College,21
75,2,South Alabama,48,,Nicholls State,7
76,2,South Carolina,35,,Georgia State,14
77,2,(14) Southern California,66,,Rice,14
78,2,Southern Methodist,48,@,North Texas,10
79,2,Stanford,41,,Colgate,10
80,2,Syracuse,31,,Louisville,7
81,2,Texas,52,,Louisiana-Monroe,10
82,2,(6) Texas A&M,31,,Sam Houston State,0
83,2,Texas Tech,63,,Murray State,10
84,2,Tulane,42,,Massachusetts,10
85,2,UCLA,45,,Bowling Green,17
86,2,Vanderbilt,42,,Elon,31
87,2,Virginia,34,,Richmond,17
88,2,Washington,45,,Kent State,20
89,2,Washington State,24,,Idaho,17
90,2,(18) Wisconsin,38,,Illinois State,0
91,2,Wyoming,40,,Tulsa,37
92,2,Florida State,24,N,Louisiana State,23
93,2,Western Kentucky,49,@,Hawaii,17
94,2,(4) Clemson,41,@,Georgia Tech,10
95,3,Boise State,31,@,New Mexico,14
96,3,Louisville,20,@,Central Florida,14
97,3,Air Force,41,,Colorado,10
98,3,(1) Alabama,20,@,Texas,19
99,3,Appalachian State,17,@,(6) Texas A&M,14
100,3,(16) Arkansas,44,,South Carolina,30
101,3,Auburn,24,,San Jose State,16
102,3,(21) Brigham Young,26,,(9) Baylor,20
103,3,California,20,,Nevada-Las Vegas,14
104,3,Cincinnati,63,,Kennesaw State,10
105,3,(5) Clemson,35,,Furman,12
106,3,Coastal Carolina,31,,Gardner-Webb,27
107,3,Duke,31,@,Northwestern,23
108,3,East Carolina,39,,Old Dominion,21
109,3,Eastern Kentucky,59,@,Bowling Green,57
110,3,Florida Atlantic,42,,Southeastern Louisiana,9
111,3,(2) Georgia,33,,Samford,0
112,3,Georgia Southern,45,@,Nebraska,42
113,3,Georgia Tech,35,,Western Carolina,17
114,3,Holy Cross,37,@,Buffalo,31
115,3,Illinois,24,,Virginia,3
116,3,Incarnate Word,55,@,Nevada,41
117,3,Indiana,35,,Idaho,22
118,3,Iowa State,10,@,Iowa,7
119,3,James Madison,63,,Norfolk State,7
120,3,Kansas,55,@,West Virginia,42
121,3,Kansas State,40,,Missouri,12
122,3,(20) Kentucky,26,@,(12) Florida,16
123,3,Liberty,21,,Alabama-Birmingham,14
124,3,Louisiana,49,,Eastern Michigan,21
125,3,Louisiana State,65,,Southern,17
126,3,Louisiana Tech,52,,Stephen F. Austin,17
127,3,Louisiana-Monroe,35,,Nicholls State,7
128,3,Marshall,26,@,(8) Notre Dame,21
129,3,Maryland,56,@,Charlotte,21
130,3,Memphis,37,@,Navy,13
131,3,(15) Miami (FL),30,,Southern Mississippi,7
132,3,Miami (OH),31,,Robert Morris,14
133,3,(4) Michigan,56,,Hawaii,10
134,3,(14) Michigan State,52,,Akron,0
135,3,Middle Tennessee State,34,@,Colorado State,19
136,3,Minnesota,62,,Western Illinois,10
137,3,(22) Mississippi,59,,Central Arkansas,3
138,3,Mississippi State,39,@,Arizona,17
139,3,North Carolina,35,@,Georgia State,28
140,3,(18) North Carolina State,55,,Charleston Southern,3
141,3,North Texas,59,,Texas Southern,27
142,3,(3) Ohio State,45,,Arkansas State,12
143,3,(7) Oklahoma,33,,Kent State,3
144,3,(11) Oklahoma State,34,,Arizona State,17
145,3,Oregon,70,,Eastern Washington,14
146,3,Oregon State,35,@,Fresno State,32
147,3,Penn State,46,,Ohio,10
148,3,Purdue,56,,Indiana State,0
149,3,Rice,52,,McNeese State,10
150,3,Rutgers,66,,Wagner,7
151,3,San Diego State,38,,Idaho State,7
152,3,South Alabama,38,@,Central Michigan,24
153,3,South Florida,42,,Howard,20
154,3,(10) Southern California,41,@,Stanford,28
155,3,Southern Methodist,45,,Lamar,16
156,3,Syracuse,48,@,Connecticut,14
157,3,Temple,30,,Lafayette,14
158,3,(24) Tennessee,34,@,(17) Pittsburgh,27
159,3,Texas Christian,59,,Tarleton State,17
160,3,Texas State,41,,Florida International,12
161,3,Texas Tech,33,,(25) Houston,30
162,3,Texas-El Paso,20,,New Mexico State,13
163,3,Texas-San Antonio,41,@,Army,38
164,3,Toledo,55,,Massachusetts,10
165,3,Troy,38,,Alabama A&M,17
166,3,Tulane,52,,Alcorn State,0
167,3,Tulsa,38,,Northern Illinois,35
168,3,UCLA,45,,Alabama State,7
169,3,(13) Utah,73,,Southern Utah,7
170,3,Virginia Tech,27,,Boston College,10
171,3,(23) Wake Forest,45,@,Vanderbilt,25
172,3,Washington,52,,Portland State,6
173,3,Washington State,17,@,(19) Wisconsin,14
174,3,Weber State,35,@,Utah State,7
175,3,Western Michigan,37,@,Ball State,30
176,3,Wyoming,33,,Northern Colorado,10
177,4,Florida State,35,@,Louisville,31
178,4,Wyoming,17,,Air Force,14
179,4,(2) Alabama,63,,Louisiana-Monroe,7
180,4,Alabama-Birmingham,35,,Georgia Southern,21
181,4,Appalachian State,32,,Troy,28
182,4,Arizona,31,,North Dakota State,28
183,4,(10) Arkansas,38,,Missouri State,27
184,4,Army,49,,Villanova,10
185,4,Ball State,31,,Murray State,0
186,4,(17) Baylor,42,,Texas State,7
187,4,Boise State,30,,Tennessee-Martin,7
188,4,Boston College,38,,Maine,17
189,4,Bowling Green,34,,Marshall,31
190,4,Central Florida,40,@,Florida Atlantic,14
191,4,Central Michigan,41,,Bucknell,0
192,4,Charlotte,42,@,Georgia State,41
193,4,Cincinnati,38,N,Miami (OH),17
194,4,(5) Clemson,48,,Louisiana Tech,20
195,4,Coastal Carolina,38,,Buffalo,26
196,4,Duke,49,,North Carolina A&T,20
197,4,East Carolina,49,,Campbell,10
198,4,Eastern Michigan,30,@,Arizona State,21
199,4,(18) Florida,31,,South Florida,28
200,4,(1) Georgia,48,@,South Carolina,7
201,4,Indiana,33,,Western Kentucky,30
202,4,Iowa,27,,Nevada,0
203,4,Iowa State,43,,Ohio,10
204,4,Kansas,48,@,Houston,30
205,4,Kent State,63,,Long Island,10
206,4,(9) Kentucky,31,,Youngstown State,0
207,4,Louisiana State,31,,Mississippi State,16
208,4,Maryland,34,,Southern Methodist,27
209,4,Massachusetts,20,,Stony Brook,3
210,4,Memphis,44,,Arkansas State,32
211,4,(4) Michigan,59,,Connecticut,0
212,4,Middle Tennessee State,49,,Tennessee State,6
213,4,Minnesota,49,,Colorado,7
214,4,(20) Mississippi,42,@,Georgia Tech,0
215,4,Missouri,34,,Abilene Christian,17
216,4,Nevada-Las Vegas,58,,North Texas,27
217,4,New Mexico,27,,Texas-El Paso,10
218,4,(16) North Carolina State,27,,Texas Tech,14
219,4,Notre Dame,24,,California,17
220,4,(3) Ohio State,77,,Toledo,21
221,4,(6) Oklahoma,49,@,Nebraska,14
222,4,(8) Oklahoma State,63,,Arkansas-Pine Bluff,7
223,4,(25) Oregon,41,,(12) Brigham Young,20
224,4,Oregon State,68,N,Montana State,28
225,4,(22) Penn State,41,@,Auburn,12
226,4,(23) Pittsburgh,34,@,Western Michigan,13
227,4,Rice,33,,Louisiana,21
228,4,Rutgers,16,@,Temple,14
229,4,(7) Southern California,45,,Fresno State,17
230,4,Southern Illinois,31,@,Northwestern,24
231,4,Southern Mississippi,64,,Northwestern State,10
232,4,Syracuse,32,,Purdue,29
233,4,(15) Tennessee,63,,Akron,6
234,4,(21) Texas,41,,Texas-San Antonio,20
235,4,(24) Texas A&M,17,,(13) Miami (FL),9
236,4,Tulane,17,@,Kansas State,10
237,4,Tulsa,54,,Jacksonville State,17
238,4,UCLA,32,,South Alabama,31
239,4,(14) Utah,35,,San Diego State,7
240,4,Vanderbilt,38,@,Northern Illinois,28
241,4,Virginia,16,,Old Dominion,14
242,4,Virginia Tech,27,,Wofford,7
243,4,(19) Wake Forest,37,,Liberty,36
244,4,Washington,39,,(11) Michigan State,28
245,4,Washington State,38,,Colorado State,7
246,4,West Virginia,65,,Towson,7
247,4,Wisconsin,66,,New Mexico State,7
248,4,Hawaii,24,,Duquesne,14
249,5,Coastal Carolina,41,@,Georgia State,24
250,5,Illinois,31,,Chattanooga,0
251,5,West Virginia,33,@,Virginia Tech,10
252,5,Air Force,48,,Nevada,20
253,5,Syracuse,22,,Virginia,20
254,5,Texas-El Paso,27,,Boise State,10
255,5,(2) Alabama,55,,Vanderbilt,3
256,5,Auburn,17,,Missouri,14
257,5,(17) Baylor,31,@,Iowa State,24
258,5,(19) Brigham Young,38,,Wyoming,24
259,5,Buffalo,50,@,Eastern Michigan,31
260,5,California,49,,Arizona,31
261,5,Central Florida,27,,Georgia Tech,10
262,5,Cincinnati,45,,Indiana,24
263,5,(5) Clemson,51,@,(21) Wake Forest,45
264,5,Florida State,44,,Boston College,14
265,5,(1) Georgia,39,,Kent State,22
266,5,Georgia Southern,34,,Ball State,23
267,5,Houston,34,,Rice,27
268,5,Iowa,27,@,Rutgers,10
269,5,James Madison,32,@,Appalachian State,28
270,5,Kansas,35,,Duke,27
271,5,Kansas State,41,@,(6) Oklahoma,34
272,5,(8) Kentucky,31,,Northern Illinois,23
273,5,Liberty,21,,Akron,12
274,5,Louisiana State,38,,New Mexico,0
275,5,Louisiana-Monroe,21,,Louisiana,17
276,5,Louisville,41,,South Florida,3
277,5,Memphis,44,,North Texas,34
278,5,Miami (OH),17,@,Northwestern,14
279,5,(4) Michigan,34,,Maryland,27
280,5,Middle Tennessee State,45,@,(25) Miami (FL),31
281,5,Minnesota,34,@,Michigan State,7
282,5,(16) Mississippi,35,,Tulsa,27
283,5,Mississippi State,45,,Bowling Green,14
284,5,Navy,23,@,East Carolina,20
285,5,Nevada-Las Vegas,34,@,Utah State,24
286,5,New Mexico State,45,,Hawaii,26
287,5,(12) North Carolina State,41,,Connecticut,10
288,5,Notre Dame,45,@,North Carolina,32
289,5,Ohio,59,,Fordham,52
290,5,(3) Ohio State,52,,Wisconsin,21
291,5,Old Dominion,29,,Arkansas State,26
292,5,(15) Oregon,44,@,Washington State,41
293,5,(14) Penn State,33,,Central Michigan,14
294,5,(24) Pittsburgh,45,,Rhode Island,24
295,5,Purdue,28,,Florida Atlantic,26
296,5,Sacramento State,41,@,Colorado State,10
297,5,San Diego State,17,,Toledo,14
298,5,San Jose State,34,,Western Michigan,6
299,5,South Alabama,38,,Louisiana Tech,14
300,5,South Carolina,56,,Charlotte,20
301,5,(7) Southern California,17,@,Oregon State,14
302,5,Southern Mississippi,27,@,Tulane,24
303,5,Temple,28,,Massachusetts,0
304,5,(11) Tennessee,38,,(20) Florida,33
305,5,(23) Texas A&M,23,N,(10) Arkansas,21
306,5,Texas Christian,42,@,Southern Methodist,34
307,5,Texas State,34,,Houston Baptist,0
308,5,Texas Tech,37,,(22) Texas,34
309,5,Texas-San Antonio,52,,Texas Southern,24
310,5,Troy,16,,Marshall,7
311,5,UCLA,45,@,Colorado,17
312,5,(13) Utah,34,@,Arizona State,13
313,5,(18) Washington,40,,Stanford,22
314,5,Western Kentucky,73,,Florida International,0
315,6,(19) Brigham Young,38,,Utah State,26
316,6,South Carolina,50,,South Carolina State,10
317,6,Boise State,35,,San Diego State,13
318,6,Nevada-Las Vegas,31,,New Mexico,20
319,6,Texas-San Antonio,45,@,Middle Tennessee State,30
320,6,Tulane,27,@,Houston,24
321,6,UCLA,40,,(15) Washington,32
322,6,Air Force,13,,Navy,10
323,6,(2) Alabama,49,@,(20) Arkansas,26
324,6,Appalachian State,49,,Citadel,0
325,6,Arizona,43,,Colorado,20
326,6,Arkansas State,45,,Louisiana-Monroe,28
327,6,Ball State,44,,Northern Illinois,38
328,6,Boston College,34,,Louisville,33
329,6,Bowling Green,31,@,Akron,28
330,6,Buffalo,24,,Miami (OH),20
331,6,Cincinnati,31,@,Tulsa,21
332,6,(5) Clemson,30,,(10) North Carolina State,20
333,6,Coastal Carolina,34,,Georgia Southern,30
334,6,Connecticut,19,,Fresno State,14
335,6,Duke,38,,Virginia,17
336,6,East Carolina,48,N,South Florida,28
337,6,Eastern Michigan,20,,Massachusetts,13
338,6,Florida International,21,@,New Mexico State,7
339,6,(1) Georgia,26,@,Missouri,22
340,6,Georgia State,31,@,Army,14
341,6,Georgia Tech,26,@,(24) Pittsburgh,21
342,6,Illinois,34,@,Wisconsin,10
343,6,James Madison,40,,Texas State,13
344,6,Kansas,14,,Iowa State,11
345,6,(25) Kansas State,37,,Texas Tech,28
346,6,Kent State,31,,Ohio,24
347,6,Liberty,38,@,Old Dominion,24
348,6,Louisiana State,21,@,Auburn,17
349,6,Marshall,28,,Gardner-Webb,7
350,6,Maryland,27,,Michigan State,13
351,6,Memphis,24,,Temple,3
352,6,(4) Michigan,27,@,Iowa,14
353,6,(14) Mississippi,22,,(7) Kentucky,19
354,6,Mississippi State,42,,(17) Texas A&M,24
355,6,Nebraska,35,,Indiana,21
356,6,North Carolina,41,,Virginia Tech,10
357,6,North Texas,45,,Florida Atlantic,28
358,6,(3) Ohio State,49,,Rutgers,10
359,6,(9) Oklahoma State,36,@,(16) Baylor,25
360,6,(13) Oregon,45,,Stanford,27
361,6,(11) Penn State,17,,Northwestern,7
362,6,Purdue,20,@,(21) Minnesota,10
363,6,Rice,28,,Alabama-Birmingham,24
364,6,San Jose State,33,@,Wyoming,16
365,6,South Alabama,20,@,Louisiana,17
366,6,(6) Southern California,42,,Arizona State,25
367,6,Syracuse,59,,Wagner,0
368,6,Texas,38,,West Virginia,20
369,6,Texas Christian,55,,(18) Oklahoma,24
370,6,Texas-El Paso,41,@,Charlotte,35
371,6,Toledo,38,,Central Michigan,17
372,6,Troy,34,@,Western Kentucky,27
373,6,(12) Utah,42,,Oregon State,16
374,6,(22) Wake Forest,31,@,(23) Florida State,21
375,6,Washington State,28,,California,9
376,6,Western Michigan,44,,New Hampshire,7
377,6,Florida,52,,Eastern Washington,17
378,7,Central Florida,41,,Southern Methodist,19
379,7,Colorado State,17,@,Nevada,14
380,7,Houston,33,@,Memphis,32
381,7,Nebraska,14,@,Rutgers,13
382,7,San Jose State,40,,Nevada-Las Vegas,7
383,7,(1) Alabama,24,,Texas A&M,20
384,7,Alabama-Birmingham,41,,Middle Tennessee State,14
385,7,Arizona State,45,,(21) Washington,38
386,7,Ball State,17,@,Central Michigan,16
387,7,Boise State,40,,Fresno State,20
388,7,Buffalo,38,@,Bowling Green,7
389,7,(24) Cincinnati,28,,South Florida,24
390,7,(5) Clemson,31,@,Boston College,3
391,7,Coastal Carolina,28,@,Louisiana-Monroe,21
392,7,Connecticut,33,@,Florida International,12
393,7,Eastern Michigan,45,@,Western Michigan,23
394,7,Florida,24,,Missouri,17
395,7,(2) Georgia,42,,Auburn,10
396,7,Georgia State,41,,Georgia Southern,33
397,7,Georgia Tech,23,,Duke,20
398,7,Illinois,9,,Iowa,6
399,7,James Madison,42,@,Arkansas State,20
400,7,(20) Kansas State,10,@,Iowa State,9
401,7,Liberty,42,@,Massachusetts,24
402,7,Louisiana Tech,41,,Texas-El Paso,31
403,7,Louisville,34,@,Virginia,17
404,7,Miami (OH),27,,Kent State,24
405,7,(4) Michigan,31,@,Indiana,10
406,7,(9) Mississippi,52,@,Vanderbilt,28
407,7,(23) Mississippi State,40,,Arkansas,17
408,7,Navy,53,,Tulsa,21
409,7,North Carolina,27,@,Miami (FL),24
410,7,(14) North Carolina State,19,,Florida State,17
411,7,Notre Dame,28,N,(16) Brigham Young,20
412,7,Ohio,55,,Akron,34
413,7,(3) Ohio State,49,@,Michigan State,20
414,7,(7) Oklahoma State,41,,Texas Tech,31
415,7,(12) Oregon,49,@,Arizona,22
416,7,Oregon State,28,@,Stanford,27
417,7,Pittsburgh,45,,Virginia Tech,29
418,7,Purdue,31,@,Maryland,29
419,7,San Diego State,16,,Hawaii,14
420,7,South Carolina,24,@,(13) Kentucky,14
421,7,(6) Southern California,30,,Washington State,14
422,7,(8) Tennessee,40,@,(25) Louisiana State,13
423,7,Texas,49,N,Oklahoma,0
424,7,(17) Texas Christian,38,@,(19) Kansas,31
425,7,Texas State,36,,Appalachian State,24
426,7,Texas-San Antonio,31,,Western Kentucky,28
427,7,Toledo,52,@,Northern Illinois,32
428,7,Troy,27,,Southern Mississippi,10
429,7,Tulane,24,,East Carolina,9
430,7,(18) UCLA,42,,(11) Utah,32
431,7,Utah State,34,,Air Force,27
432,7,(15) Wake Forest,45,,Army,10
433,7,Wisconsin,42,@,Northwestern,7
434,7,Wyoming,27,@,New Mexico,14
435,8,Louisiana,23,@,Marshall,13
436,8,Central Florida,70,,Temple,13
437,8,West Virginia,43,,Baylor,40
438,8,Southern Methodist,40,,Navy,34
439,8,Texas-San Antonio,30,@,Florida International,10
440,8,Air Force,42,@,Nevada-Las Vegas,7
441,8,Alabama-Birmingham,34,,Charlotte,20
442,8,Arkansas,52,@,Brigham Young,35
443,8,Army,42,,Colgate,17
444,8,Ball State,25,,Connecticut,21
445,8,Bowling Green,17,,Miami (OH),13
446,8,Buffalo,34,@,Massachusetts,7
447,8,Central Michigan,28,@,Akron,21
448,8,(4) Clemson,34,@,Florida State,28
449,8,Colorado,20,,California,13
450,8,East Carolina,47,,Memphis,45
451,8,Florida Atlantic,17,,Rice,14
452,8,Fresno State,17,,San Jose State,10
453,8,(1) Georgia,55,,Vanderbilt,0
454,8,Georgia Southern,45,,(25) James Madison,38
455,8,Hawaii,31,,Nevada,16
456,8,(24) Illinois,26,,Minnesota,14
457,8,(22) Kentucky,27,,(16) Mississippi State,17
458,8,Liberty,21,,Gardner-Webb,20
459,8,Louisiana State,45,@,Florida,35
460,8,Maryland,38,@,Indiana,33
461,8,Miami (FL),20,@,Virginia Tech,14
462,8,(5) Michigan,41,,(10) Penn State,17
463,8,Michigan State,34,,Wisconsin,28
464,8,(9) Mississippi,48,,Auburn,34
465,8,New Mexico State,21,,New Mexico,9
466,8,North Carolina,38,@,Duke,35
467,8,North Texas,47,,Louisiana Tech,27
468,8,Northern Illinois,39,@,Eastern Michigan,10
469,8,Ohio,33,@,Western Michigan,14
470,8,Oklahoma,52,,(19) Kansas,42
471,8,Old Dominion,49,@,Coastal Carolina,21
472,8,Oregon State,24,,Washington State,10
473,8,Purdue,43,,Nebraska,37
474,8,South Alabama,41,,Louisiana-Monroe,34
475,8,Southern Mississippi,20,,Arkansas State,19
476,8,Stanford,16,@,Notre Dame,14
477,8,(18) Syracuse,24,,(15) North Carolina State,9
478,8,(6) Tennessee,52,,(3) Alabama,49
479,8,(22) Texas,24,,Iowa State,21
480,8,(13) Texas Christian,43,,(8) Oklahoma State,40
481,8,Toledo,52,,Kent State,31
482,8,Troy,17,,Texas State,14
483,8,Tulane,45,@,South Florida,31
484,8,(20) Utah,43,,(7) Southern California,42
485,8,Utah State,17,@,Colorado State,13
486,8,Washington,49,,Arizona,39
487,8,Western Kentucky,35,@,Middle Tennessee State,17
488,9,Appalachian State,42,,Georgia State,17
489,9,Troy,10,@,South Alabama,6
490,9,Virginia,16,@,Georgia Tech,9
491,9,Tulsa,27,@,Temple,16
492,9,Western Kentucky,20,,Alabama-Birmingham,17
493,9,(6) Alabama,30,,(24) Mississippi State,6
494,9,Army,48,,Louisiana-Monroe,24
495,9,Baylor,35,,Kansas,23
496,9,Boise State,19,@,Air Force,14
497,9,Bowling Green,34,@,Central Michigan,18
498,9,Buffalo,34,,Toledo,27
499,9,(21) Cincinnati,29,@,Southern Methodist,27
500,9,(5) Clemson,27,,(14) Syracuse,21
501,9,Colorado State,17,,Hawaii,13
502,9,Duke,45,@,Miami (FL),21
503,9,East Carolina,34,,Central Florida,13
504,9,Eastern Michigan,20,@,Ball State,16
505,9,Florida International,34,@,Charlotte,15
506,9,Fresno State,41,@,New Mexico,9
507,9,Georgia Southern,28,@,Old Dominion,23
508,9,Houston,38,@,Navy,20
509,9,Kent State,33,,Akron,27
510,9,Liberty,41,,Brigham Young,14
511,9,Louisiana,38,,Arkansas State,18
512,9,Louisiana State,45,,(7) Mississippi,20
513,9,Louisville,24,,Pittsburgh,10
514,9,Marshall,26,@,James Madison,12
515,9,Maryland,31,,Northwestern,24
516,9,Missouri,17,,Vanderbilt,14
517,9,Notre Dame,44,,Nevada-Las Vegas,21
518,9,Ohio,24,,Northern Illinois,17
519,9,(2) Ohio State,54,,Iowa,10
520,9,(11) Oklahoma State,41,,(20) Texas,34
521,9,(10) Oregon,45,,(9) UCLA,30
522,9,Oregon State,42,,Colorado,9
523,9,(16) Penn State,45,,Minnesota,17
524,9,Rice,42,@,Louisiana Tech,41
525,9,Rutgers,24,,Indiana,17
526,9,San Diego State,23,@,Nevada,7
527,9,San Jose State,0,@,New Mexico State,0
528,9,South Carolina,30,,Texas A&M,24
529,9,Southern Mississippi,20,@,Texas State,14
530,9,Stanford,15,,Arizona State,14
531,9,(3) Tennessee,65,,Tennessee-Martin,24
532,9,(8) Texas Christian,38,,(17) Kansas State,28
533,9,Texas Tech,48,,West Virginia,10
534,9,Texas-El Paso,24,,Florida Atlantic,21
535,9,Texas-San Antonio,31,,North Texas,27
536,9,(25) Tulane,38,,Memphis,28
537,9,(13) Wake Forest,43,,Boston College,15
538,9,Washington,28,@,California,21
539,9,Western Michigan,16,@,Miami (OH),10
540,9,Wisconsin,35,,Purdue,24
541,9,Wyoming,28,,Utah State,14
542,10,(24) North Carolina State,22,,Virginia Tech,21
543,10,Southern Mississippi,39,,Louisiana,24
544,10,(14) Utah,21,@,Washington State,17
545,10,East Carolina,27,@,Brigham Young,24
546,10,Florida International,42,,Louisiana Tech,34
547,10,Appalachian State,42,,Robert Morris,3
548,10,Arizona State,42,@,Colorado,34
549,10,Arkansas,41,@,Auburn,27
550,10,Baylor,45,@,Texas Tech,17
551,10,Boise State,49,,Colorado State,10
552,10,Central Florida,25,,(20) Cincinnati,21
553,10,Charlotte,56,@,Rice,23
554,10,Coastal Carolina,24,@,Marshall,13
555,10,Connecticut,13,,Boston College,3
556,10,Florida Atlantic,24,,Alabama-Birmingham,17
557,10,Florida State,41,,Georgia Tech,16
558,10,Fresno State,32,,San Diego State,28
559,10,(1) Georgia,42,N,Florida,20
560,10,Georgia State,31,,Old Dominion,17
561,10,Houston,42,,South Florida,27
562,10,(17) Illinois,26,@,Nebraska,9
563,10,Iowa,33,,Northwestern,13
564,10,(22) Kansas State,48,,(9) Oklahoma State,0
565,10,Louisville,48,,(10) Wake Forest,21
566,10,Miami (FL),14,@,Virginia,12
567,10,Miami (OH),27,@,Akron,9
568,10,(4) Michigan,29,,Michigan State,7
569,10,Middle Tennessee State,24,@,Texas-El Paso,13
570,10,Minnesota,31,,Rutgers,0
571,10,(15) Mississippi,31,@,Texas A&M,28
572,10,Missouri,23,@,(25) South Carolina,10
573,10,Navy,27,,Temple,20
574,10,New Mexico State,23,@,Massachusetts,13
575,10,(21) North Carolina,42,,Pittsburgh,24
576,10,North Texas,40,@,Western Kentucky,13
577,10,Notre Dame,41,@,(16) Syracuse,24
578,10,(2) Ohio State,44,@,(13) Penn State,31
579,10,Oklahoma,27,@,Iowa State,13
580,10,(8) Oregon,42,@,California,24
581,10,San Jose State,35,,Nevada,28
582,10,South Alabama,31,@,Arkansas State,3
583,10,(10) Southern California,45,@,Arizona,37
584,10,Southern Methodist,45,@,Tulsa,34
585,10,(3) Tennessee,44,,(19) Kentucky,6
586,10,(7) Texas Christian,41,@,West Virginia,31
587,10,Toledo,27,@,Eastern Michigan,24
588,10,(12) UCLA,38,,Stanford,13
589,10,Wyoming,27,@,Hawaii,20
590,11,Ball State,27,@,Kent State,20
591,11,Ohio,45,,Buffalo,24
592,11,Bowling Green,13,,Western Michigan,9
593,11,Central Michigan,35,@,Northern Illinois,22
594,11,Coastal Carolina,35,,Appalachian State,28
595,11,Rice,37,,Texas-El Paso,30
596,11,Connecticut,27,,Massachusetts,10
597,11,Duke,38,@,Boston College,31
598,11,Washington,24,,(24) Oregon State,21
599,11,Air Force,13,N,Army,7
600,11,Baylor,38,@,Oklahoma,35
601,11,Brigham Young,31,@,Boise State,28
602,11,(25) Central Florida,35,@,Memphis,28
603,11,Cincinnati,20,,Navy,10
604,11,Florida,41,@,Texas A&M,24
605,11,Florida State,45,@,Miami (FL),3
606,11,Fresno State,55,,Hawaii,13
607,11,(1) Georgia,27,,(2) Tennessee,13
608,11,Georgia State,42,@,Southern Mississippi,14
609,11,Georgia Tech,28,@,Virginia Tech,27
610,11,Iowa,24,@,Purdue,3
611,11,Iowa State,31,,West Virginia,14
612,11,Kansas,37,,(18) Oklahoma State,16
613,11,Kentucky,21,@,Missouri,17
614,11,(23) Liberty,21,@,Arkansas,19
