Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
277,5,Sep 21 2019,3:00 PM,Sat,Troy,35,@,Akron,7,
278,5,Sep 21 2019,3:30 PM,Sat,Tulsa,24,,Wyoming,21,
279,5,Sep 21 2019,10:30 PM,Sat,UCLA,67,@,(19) Washington State,63,
280,5,Sep 21 2019,10:30 PM,Sat,Utah State,23,@,San Diego State,17,
281,5,Sep 21 2019,7:00 PM,Sat,(21) Virginia,28,,Old Dominion,17,
282,5,Sep 21 2019,12:00 PM,Sat,Wake Forest,49,,Elon,7,
283,5,Sep 21 2019,3:30 PM,Sat,(22) Washington,45,@,Brigham Young,19,
284,5,Sep 21 2019,4:30 PM,Sat,West Virginia,29,@,Kansas,24,
285,5,Sep 21 2019,12:00 PM,Sat,(13) Wisconsin,35,,(11) Michigan,14,
286,6,Sep 26 2019,8:00 PM,Thu,Memphis,35,,Navy,23,
287,6,Sep 27 2019,8:00 PM,Fri,Air Force,41,,San Jose State,24,
288,6,Sep 27 2019,10:30 PM,Fri,Arizona State,24,@,(15) California,17,
289,6,Sep 27 2019,7:00 PM,Fri,Duke,45,@,Virginia Tech,10,
290,6,Sep 27 2019,8:00 PM,Fri,(12) Penn State,59,@,Maryland,0,
291,6,Sep 28 2019,3:30 PM,Sat,(2) Alabama,59,,Mississippi,31,
292,6,Sep 28 2019,3:30 PM,Sat,Appalachian State,56,,Coastal Carolina,37,
293,6,Sep 28 2019,10:30 PM,Sat,Arizona,20,,UCLA,17,
294,6,Sep 28 2019,6:00 PM,Sat,Arkansas State,50,@,Troy,43,
295,6,Sep 28 2019,7:00 PM,Sat,(7) Auburn,56,,Mississippi State,23,
296,6,Sep 28 2019,3:30 PM,Sat,Baylor,23,,Iowa State,21,
297,6,Sep 28 2019,7:00 PM,Sat,(22) Central Florida,56,,Connecticut,21,
298,6,Sep 28 2019,5:00 PM,Sat,Cincinnati,52,@,Marshall,14,
299,6,Sep 28 2019,3:30 PM,Sat,(1) Clemson,21,@,North Carolina,20,
300,6,Sep 28 2019,6:00 PM,Sat,East Carolina,24,@,Old Dominion,21,
301,6,Sep 28 2019,4:00 PM,Sat,(9) Florida,38,,Towson,0,
302,6,Sep 28 2019,3:30 PM,Sat,Florida Atlantic,45,@,Charlotte,27,
303,6,Sep 28 2019,7:30 PM,Sat,Florida State,31,,North Carolina State,13,
304,6,Sep 28 2019,8:00 PM,Sat,Fresno State,30,@,New Mexico State,17,
305,6,Sep 28 2019,10:30 PM,Sat,Hawaii,54,@,Nevada,3,
306,6,Sep 28 2019,8:00 PM,Sat,Houston,46,@,North Texas,25,
307,6,Sep 28 2019,12:00 PM,Sat,(14) Iowa,48,,Middle Tennessee State,3,
308,6,Sep 28 2019,6:00 PM,Sat,Liberty,17,,New Mexico,10,
309,6,Sep 28 2019,6:00 PM,Sat,Louisiana,37,@,Georgia Southern,24,
310,6,Sep 28 2019,7:00 PM,Sat,Louisiana Tech,23,@,Rice,20,
311,6,Sep 28 2019,7:00 PM,Sat,Louisiana-Monroe,30,,South Alabama,17,
312,6,Sep 28 2019,3:30 PM,Sat,Massachusetts,37,,Akron,29,
313,6,Sep 28 2019,12:00 PM,Sat,Miami (OH),34,,Buffalo,20,
314,6,Sep 28 2019,12:00 PM,Sat,(20) Michigan,52,,Rutgers,0,
315,6,Sep 28 2019,3:30 PM,Sat,(25) Michigan State,40,,Indiana,31,
316,6,Sep 28 2019,3:30 PM,Sat,Minnesota,38,@,Purdue,31,
317,6,Sep 28 2019,3:30 PM,Sat,(10) Notre Dame,35,,(18) Virginia,20,
318,6,Sep 28 2019,7:30 PM,Sat,(5) Ohio State,48,@,Nebraska,7,
319,6,Sep 28 2019,12:00 PM,Sat,(6) Oklahoma,55,,Texas Tech,16,
320,6,Sep 28 2019,7:00 PM,Sat,Oklahoma State,26,,(24) Kansas State,13,
321,6,Sep 28 2019,12:30 PM,Sat,Pittsburgh,17,,Delaware,14,
322,6,Sep 28 2019,7:30 PM,Sat,South Carolina,24,,Kentucky,7,
323,6,Sep 28 2019,4:00 PM,Sat,Southern Methodist,48,@,South Florida,21,
324,6,Sep 28 2019,7:00 PM,Sat,Southern Mississippi,31,,Texas-El Paso,13,
325,6,Sep 28 2019,7:00 PM,Sat,Stanford,31,@,Oregon State,28,
326,6,Sep 28 2019,12:00 PM,Sat,Syracuse,41,,Holy Cross,3,
327,6,Sep 28 2019,3:30 PM,Sat,Temple,24,,Georgia Tech,2,
328,6,Sep 28 2019,12:00 PM,Sat,(23) Texas A&M,31,,Arkansas,27,AT&T Stadium - Arlington Texas
329,6,Sep 28 2019,12:00 PM,Sat,Texas Christian,51,,Kansas,14,
330,6,Sep 28 2019,7:00 PM,Sat,Texas State,24,,Nicholls State,3,
331,6,Sep 28 2019,12:00 PM,Sat,Toledo,28,,Brigham Young,21,
332,6,Sep 28 2019,10:00 PM,Sat,(19) Utah,38,,Washington State,13,
333,6,Sep 28 2019,7:30 PM,Sat,Utah State,34,,Colorado State,24,
334,6,Sep 28 2019,12:00 PM,Sat,Vanderbilt,24,,Northern Illinois,18,
335,6,Sep 28 2019,3:30 PM,Sat,Wake Forest,27,@,Boston College,24,
336,6,Sep 28 2019,3:30 PM,Sat,(17) Washington,28,,(21) Southern California,14,
337,6,Sep 28 2019,7:00 PM,Sat,Western Kentucky,20,,Alabama-Birmingham,13,
338,6,Sep 28 2019,12:00 PM,Sat,Western Michigan,31,,Central Michigan,15,
339,6,Sep 28 2019,12:00 PM,Sat,(8) Wisconsin,24,,Northwestern,15,
340,6,Sep 28 2019,8:00 PM,Sat,Wyoming,53,,Nevada-Las Vegas,17,
341,7,Oct 3 2019,7:30 PM,Thu,Georgia Southern,20,@,South Alabama,17,
342,7,Oct 3 2019,8:00 PM,Thu,Temple,27,@,East Carolina,17,
343,7,Oct 4 2019,8:00 PM,Fri,Cincinnati,27,,(18) Central Florida,24,
344,7,Oct 4 2019,10:00 PM,Fri,San Jose State,32,,New Mexico,21,
345,7,Oct 5 2019,7:00 PM,Sat,Alabama-Birmingham,35,,Rice,20,
346,7,Oct 5 2019,4:30 PM,Sat,Arizona,35,@,Colorado,30,
347,7,Oct 5 2019,3:30 PM,Sat,Ball State,27,@,Northern Illinois,20,
348,7,Oct 5 2019,3:30 PM,Sat,Baylor,31,@,Kansas State,12,
349,7,Oct 5 2019,10:30 PM,Sat,(16) Boise State,38,@,Nevada-Las Vegas,13,
350,7,Oct 5 2019,3:00 PM,Sat,Central Michigan,42,,Eastern Michigan,16,
351,7,Oct 5 2019,3:30 PM,Sat,(10) Florida,24,,(7) Auburn,13,
352,7,Oct 5 2019,7:00 PM,Sat,Florida International,44,,Massachusetts,0,
353,7,Oct 5 2019,7:00 PM,Sat,(3) Georgia,43,@,Tennessee,14,
354,7,Oct 5 2019,3:30 PM,Sat,Georgia State,52,,Arkansas State,38,
355,7,Oct 5 2019,12:00 PM,Sat,Iowa State,49,,Texas Christian,24,
356,7,Oct 5 2019,8:00 PM,Sat,Liberty,20,@,New Mexico State,13,
357,7,Oct 5 2019,12:00 PM,Sat,(5) Louisiana State,42,,Utah State,6,
358,7,Oct 5 2019,12:30 PM,Sat,Louisville,41,,Boston College,39,
359,7,Oct 5 2019,12:00 PM,Sat,Maryland,48,@,Rutgers,7,
360,7,Oct 5 2019,3:45 PM,Sat,Memphis,52,@,Louisiana-Monroe,33,
361,7,Oct 5 2019,12:00 PM,Sat,(19) Michigan,10,,(14) Iowa,3,
362,7,Oct 5 2019,3:30 PM,Sat,Middle Tennessee State,24,,Marshall,13,
363,7,Oct 5 2019,3:30 PM,Sat,Minnesota,40,,Illinois,17,
364,7,Oct 5 2019,7:30 PM,Sat,Mississippi,31,,Vanderbilt,6,
365,7,Oct 5 2019,4:00 PM,Sat,Missouri,42,,Troy,10,
366,7,Oct 5 2019,3:30 PM,Sat,Navy,34,,Air Force,25,
367,7,Oct 5 2019,4:00 PM,Sat,Nebraska,13,,Northwestern,10,
368,7,Oct 5 2019,4:00 PM,Sat,North Carolina,38,@,Georgia Tech,22,
369,7,Oct 5 2019,3:30 PM,Sat,(9) Notre Dame,52,,Bowling Green State,0,
370,7,Oct 5 2019,3:30 PM,Sat,Ohio,21,@,Buffalo,20,
371,7,Oct 5 2019,7:30 PM,Sat,(4) Ohio State,34,,(25) Michigan State,10,
372,7,Oct 5 2019,12:00 PM,Sat,(6) Oklahoma,45,@,Kansas,20,
373,7,Oct 5 2019,8:00 PM,Sat,(13) Oregon,17,,California,7,
374,7,Oct 5 2019,9:00 PM,Sat,Oregon State,48,@,UCLA,31,
375,7,Oct 5 2019,12:00 PM,Sat,(12) Penn State,35,,Purdue,7,
376,7,Oct 5 2019,8:00 PM,Sat,Pittsburgh,33,@,Duke,30,
377,7,Oct 5 2019,10:00 PM,Sat,San Diego State,24,@,Colorado State,10,
378,7,Oct 5 2019,12:00 PM,Sat,South Florida,48,@,Connecticut,22,
379,7,Oct 5 2019,7:30 PM,Sat,(24) Southern Methodist,43,,Tulsa,37,
380,7,Oct 5 2019,10:30 PM,Sat,Stanford,23,,(15) Washington,13,
381,7,Oct 5 2019,3:30 PM,Sat,(11) Texas,42,@,West Virginia,31,
382,7,Oct 5 2019,12:00 PM,Sat,Texas Tech,45,,(21) Oklahoma State,35,
383,7,Oct 5 2019,8:00 PM,Sat,Texas-San Antonio,26,@,Texas-El Paso,16,
384,7,Oct 5 2019,3:30 PM,Sat,Toledo,31,,Western Michigan,24,
385,7,Oct 5 2019,12:00 PM,Sat,Tulane,42,@,Army,33,
386,7,Oct 5 2019,3:30 PM,Sat,Virginia Tech,42,@,Miami (FL),35,
387,7,Oct 5 2019,6:00 PM,Sat,Western Kentucky,20,@,Old Dominion,3,
388,7,Oct 5 2019,12:00 PM,Sat,(8) Wisconsin,48,,Kent State,0,
389,8,Oct 9 2019,8:00 PM,Wed,Appalachian State,17,@,Louisiana,7,
390,8,Oct 10 2019,9:15 PM,Thu,Louisiana-Monroe,24,@,Texas State,14,
391,8,Oct 10 2019,8:00 PM,Thu,North Carolina State,16,,Syracuse,10,
392,8,Oct 11 2019,8:00 PM,Fri,Colorado State,35,@,New Mexico,21,
393,8,Oct 11 2019,8:00 PM,Fri,Miami (FL),17,,(20) Virginia,9,
394,8,Oct 11 2019,10:00 PM,Fri,(13) Oregon,45,,Colorado,3,
395,8,Oct 12 2019,7:00 PM,Sat,Air Force,43,,Fresno State,24,
396,8,Oct 12 2019,3:30 PM,Sat,(1) Alabama,47,@,(24) Texas A&M,28,
397,8,Oct 12 2019,6:00 PM,Sat,Alabama-Birmingham,33,@,Texas-San Antonio,14,
398,8,Oct 12 2019,3:30 PM,Sat,(18) Arizona State,38,,Washington State,34,
399,8,Oct 12 2019,2:00 PM,Sat,Ball State,29,@,Eastern Michigan,23,
400,8,Oct 12 2019,4:00 PM,Sat,(22) Baylor,33,,Texas Tech,30,
401,8,Oct 12 2019,10:15 PM,Sat,(14) Boise State,59,,Hawaii,37,
402,8,Oct 12 2019,12:00 PM,Sat,Bowling Green State,20,,Toledo,7,
403,8,Oct 12 2019,3:00 PM,Sat,Central Michigan,42,,New Mexico State,28,
404,8,Oct 12 2019,3:30 PM,Sat,(25) Cincinnati,38,@,Houston,23,
405,8,Oct 12 2019,3:30 PM,Sat,(2) Clemson,45,,Florida State,14,
406,8,Oct 12 2019,12:30 PM,Sat,Duke,41,,Georgia Tech,23,
407,8,Oct 12 2019,4:00 PM,Sat,Florida Atlantic,28,,Middle Tennessee State,13,
408,8,Oct 12 2019,7:00 PM,Sat,Florida International,48,,Charlotte,23,
409,8,Oct 12 2019,5:00 PM,Sat,Georgia State,31,@,Coastal Carolina,21,
410,8,Oct 12 2019,12:00 PM,Sat,Indiana,35,,Rutgers,0,
411,8,Oct 12 2019,4:00 PM,Sat,Iowa State,38,@,West Virginia,14,
412,8,Oct 12 2019,3:30 PM,Sat,Kent State,26,@,Akron,3,
413,8,Oct 12 2019,7:30 PM,Sat,Kentucky,24,,Arkansas,20,
414,8,Oct 12 2019,8:00 PM,Sat,(5) Louisiana State,42,,(7) Florida,28,
415,8,Oct 12 2019,7:00 PM,Sat,Louisiana Tech,69,,Massachusetts,21,
416,8,Oct 12 2019,7:30 PM,Sat,Louisville,62,@,(19) Wake Forest,59,
417,8,Oct 12 2019,2:30 PM,Sat,Marshall,31,,Old Dominion,17,
418,8,Oct 12 2019,12:00 PM,Sat,(16) Michigan,42,@,Illinois,25,
419,8,Oct 12 2019,7:30 PM,Sat,Minnesota,34,,Nebraska,7,
420,8,Oct 12 2019,7:00 PM,Sat,Missouri,38,,Mississippi,27,
421,8,Oct 12 2019,7:30 PM,Sat,Navy,45,@,Tulsa,17,
422,8,Oct 12 2019,4:00 PM,Sat,Nevada,41,,San Jose State,38,
423,8,Oct 12 2019,4:00 PM,Sat,Nevada-Las Vegas,34,@,Vanderbilt,10,
424,8,Oct 12 2019,3:30 PM,Sat,Northern Illinois,39,@,Ohio,36,
425,8,Oct 12 2019,7:30 PM,Sat,(9) Notre Dame,30,,Southern California,27,
426,8,Oct 12 2019,12:00 PM,Sat,(6) Oklahoma,34,,(11) Texas,27,Cotton Bowl - Dallas Texas
427,8,Oct 12 2019,7:30 PM,Sat,(10) Penn State,17,@,(17) Iowa,12,
428,8,Oct 12 2019,12:00 PM,Sat,Purdue,40,,Maryland,14,
429,8,Oct 12 2019,10:30 PM,Sat,San Diego State,26,,Wyoming,22,
430,8,Oct 12 2019,12:00 PM,Sat,South Carolina,20,@,(3) Georgia,17,
431,8,Oct 12 2019,3:30 PM,Sat,South Florida,27,,Brigham Young,23,
432,8,Oct 12 2019,7:00 PM,Sat,Southern Mississippi,45,,North Texas,27,
433,8,Oct 12 2019,12:00 PM,Sat,Temple,30,,(23) Memphis,28,
434,8,Oct 12 2019,12:00 PM,Sat,Tennessee,20,,Mississippi State,10,
435,8,Oct 12 2019,3:45 PM,Sat,Tulane,49,,Connecticut,7,
436,8,Oct 12 2019,8:00 PM,Sat,(15) Utah,52,@,Oregon State,7,
437,8,Oct 12 2019,4:00 PM,Sat,Virginia Tech,34,,Rhode Island,17,
438,8,Oct 12 2019,11:00 PM,Sat,Washington,51,@,Arizona,27,
439,8,Oct 12 2019,7:00 PM,Sat,Western Kentucky,17,,Army,8,
440,8,Oct 12 2019,12:00 PM,Sat,Western Michigan,38,,Miami (OH),16,
441,8,Oct 12 2019,3:30 PM,Sat,(8) Wisconsin,38,,Michigan State,0,
442,9,Oct 16 2019,8:00 PM,Wed,Troy,37,,South Alabama,13,
443,9,Oct 17 2019,7:30 PM,Thu,Louisiana,37,@,Arkansas State,20,
444,9,Oct 17 2019,9:00 PM,Thu,UCLA,34,@,Stanford,16,
445,9,Oct 18 2019,10:00 PM,Fri,Fresno State,56,,Nevada-Las Vegas,27,
446,9,Oct 18 2019,8:30 PM,Fri,(4) Ohio State,52,@,Northwestern,3,
447,9,Oct 18 2019,7:00 PM,Fri,Pittsburgh,27,@,Syracuse,20,
448,9,Oct 19 2019,11:00 PM,Sat,Air Force,56,@,Hawaii,26,
449,9,Oct 19 2019,9:00 PM,Sat,(1) Alabama,35,,Tennessee,13,
450,9,Oct 19 2019,4:00 PM,Sat,Alabama-Birmingham,38,,Old Dominion,14,
451,9,Oct 19 2019,3:30 PM,Sat,(24) Appalachian State,52,,Louisiana-Monroe,7,
452,9,Oct 19 2019,12:00 PM,Sat,(11) Auburn,51,@,Arkansas,10,
453,9,Oct 19 2019,2:00 PM,Sat,Ball State,52,,Toledo,14,
454,9,Oct 19 2019,4:00 PM,Sat,(18) Baylor,45,@,Oklahoma State,27,
455,9,Oct 19 2019,12:00 PM,Sat,Boston College,45,,North Carolina State,24,
456,9,Oct 19 2019,10:15 PM,Sat,Brigham Young,28,,(14) Boise State,25,
457,9,Oct 19 2019,3:30 PM,Sat,Buffalo,21,@,Akron,0,
458,9,Oct 19 2019,7:00 PM,Sat,Central Florida,41,,East Carolina,28,
459,9,Oct 19 2019,2:00 PM,Sat,Central Michigan,38,@,Bowling Green State,20,
460,9,Oct 19 2019,3:30 PM,Sat,(21) Cincinnati,24,,Tulsa,13,
461,9,Oct 19 2019,12:00 PM,Sat,(3) Clemson,45,@,Louisville,10,
462,9,Oct 19 2019,7:00 PM,Sat,Eastern Michigan,34,,Western Michigan,27,
463,9,Oct 19 2019,12:00 PM,Sat,(9) Florida,38,@,South Carolina,27,
464,9,Oct 19 2019,7:00 PM,Sat,Florida International,32,,Texas-El Paso,17,
465,9,Oct 19 2019,6:00 PM,Sat,(10) Georgia,21,,Kentucky,0,
466,9,Oct 19 2019,3:00 PM,Sat,Georgia Southern,30,,Coastal Carolina,27,
467,9,Oct 19 2019,7:00 PM,Sat,Georgia State,28,,Army,21,
468,9,Oct 19 2019,12:00 PM,Sat,Georgia Tech,28,@,Miami (FL),21,
469,9,Oct 19 2019,12:00 PM,Sat,Houston,24,@,Connecticut,17,
470,9,Oct 19 2019,12:00 PM,Sat,Illinois,24,,(6) Wisconsin,23,
471,9,Oct 19 2019,3:30 PM,Sat,Indiana,34,@,Maryland,28,
472,9,Oct 19 2019,12:00 PM,Sat,(23) Iowa,26,,Purdue,20,
473,9,Oct 19 2019,12:00 PM,Sat,Iowa State,34,@,Texas Tech,24,
474,9,Oct 19 2019,2:30 PM,Sat,Kansas State,24,,Texas Christian,17,
475,9,Oct 19 2019,6:00 PM,Sat,Liberty,59,,Maine,44,
476,9,Oct 19 2019,3:30 PM,Sat,(2) Louisiana State,36,@,Mississippi State,13,
477,9,Oct 19 2019,3:30 PM,Sat,Louisiana Tech,45,,Southern Mississippi,30,
478,9,Oct 19 2019,6:30 PM,Sat,Marshall,36,@,Florida Atlantic,31,
479,9,Oct 19 2019,7:00 PM,Sat,Memphis,47,,Tulane,17,
480,9,Oct 19 2019,2:30 PM,Sat,Miami (OH),27,,Northern Illinois,24,
481,9,Oct 19 2019,3:30 PM,Sat,(20) Minnesota,42,@,Rutgers,7,
482,9,Oct 19 2019,3:30 PM,Sat,Navy,35,,South Florida,3,
483,9,Oct 19 2019,4:00 PM,Sat,North Texas,33,,Middle Tennessee State,30,
484,9,Oct 19 2019,12:00 PM,Sat,Ohio,45,,Kent State,38,
485,9,Oct 19 2019,12:00 PM,Sat,(5) Oklahoma,52,,West Virginia,14,
486,9,Oct 19 2019,3:30 PM,Sat,(12) Oregon,35,@,(25) Washington,31,
487,9,Oct 19 2019,2:30 PM,Sat,Oregon State,21,@,California,17,
488,9,Oct 19 2019,7:30 PM,Sat,(7) Penn State,28,,(16) Michigan,21,
489,9,Oct 19 2019,7:00 PM,Sat,San Diego State,27,@,San Jose State,17,
490,9,Oct 19 2019,9:30 PM,Sat,Southern California,41,,Arizona,14,
491,9,Oct 19 2019,3:30 PM,Sat,(19) Southern Methodist,45,,Temple,21,
492,9,Oct 19 2019,7:00 PM,Sat,(15) Texas,50,,Kansas,48,
493,9,Oct 19 2019,7:30 PM,Sat,Texas A&M,24,@,Mississippi,17,
494,9,Oct 19 2019,6:00 PM,Sat,Texas-San Antonio,31,,Rice,27,
495,9,Oct 19 2019,6:00 PM,Sat,(13) Utah,21,,(17) Arizona State,3,
496,9,Oct 19 2019,10:15 PM,Sat,Utah State,36,,Nevada,10,
497,9,Oct 19 2019,4:00 PM,Sat,Vanderbilt,21,,(22) Missouri,14,
498,9,Oct 19 2019,3:30 PM,Sat,Virginia,48,,Duke,14,
499,9,Oct 19 2019,3:30 PM,Sat,Virginia Tech,43,,North Carolina,41,
500,9,Oct 19 2019,7:30 PM,Sat,Wake Forest,22,,Florida State,20,
501,9,Oct 19 2019,7:00 PM,Sat,Washington State,41,,Colorado,10,
502,9,Oct 19 2019,4:00 PM,Sat,Western Kentucky,30,,Charlotte,14,
503,9,Oct 19 2019,3:00 PM,Sat,Wyoming,23,,New Mexico,10,
504,10,Oct 24 2019,7:30 PM,Thu,(16) Southern Methodist,34,@,Houston,31,
505,10,Oct 25 2019,9:00 PM,Fri,Southern California,35,@,Colorado,31,
506,10,Oct 26 2019,10:15 PM,Sat,Air Force,31,,Utah State,7,
507,10,Oct 26 2019,7:00 PM,Sat,(1) Alabama,48,,Arkansas,7,
508,10,Oct 26 2019,12:00 PM,Sat,(21) Appalachian State,30,@,South Alabama,3,
509,10,Oct 26 2019,7:00 PM,Sat,Arkansas State,38,,Texas State,14,
510,10,Oct 26 2019,3:30 PM,Sat,Buffalo,43,,Central Michigan,20,
511,10,Oct 26 2019,7:00 PM,Sat,Central Florida,63,@,Temple,21,
512,10,Oct 26 2019,3:30 PM,Sat,Charlotte,39,,North Texas,38,
513,10,Oct 26 2019,7:30 PM,Sat,(4) Clemson,59,,Boston College,7,
514,10,Oct 26 2019,7:30 PM,Sat,Colorado State,41,@,Fresno State,31,
515,10,Oct 26 2019,3:30 PM,Sat,Connecticut,56,@,Massachusetts,35,
516,10,Oct 26 2019,3:30 PM,Sat,Florida Atlantic,41,@,Old Dominion,3,
517,10,Oct 26 2019,3:30 PM,Sat,Florida State,35,,Syracuse,17,
518,10,Oct 26 2019,3:00 PM,Sat,Georgia Southern,41,,New Mexico State,7,
519,10,Oct 26 2019,7:00 PM,Sat,Georgia State,52,,Troy,33,
520,10,Oct 26 2019,4:00 PM,Sat,Hawaii,45,@,New Mexico,31,
521,10,Oct 26 2019,12:00 PM,Sat,Illinois,24,@,Purdue,6,
522,10,Oct 26 2019,3:30 PM,Sat,Indiana,38,@,Nebraska,31,
523,10,Oct 26 2019,12:00 PM,Sat,(20) Iowa,20,@,Northwestern,0,
524,10,Oct 26 2019,7:00 PM,Sat,Kansas,37,,Texas Tech,34,
525,10,Oct 26 2019,12:00 PM,Sat,Kansas State,48,,(5) Oklahoma,41,
526,10,Oct 26 2019,7:30 PM,Sat,Kentucky,29,,Missouri,7,
527,10,Oct 26 2019,3:30 PM,Sat,(2) Louisiana State,23,,(9) Auburn,20,
528,10,Oct 26 2019,8:00 PM,Sat,Louisiana Tech,42,@,Texas-El Paso,21,
529,10,Oct 26 2019,3:30 PM,Sat,Louisville,28,,Virginia,21,
530,10,Oct 26 2019,2:30 PM,Sat,Marshall,26,,Western Kentucky,23,
531,10,Oct 26 2019,7:00 PM,Sat,Memphis,42,@,Tulsa,41,
532,10,Oct 26 2019,12:00 PM,Sat,Miami (FL),16,@,Pittsburgh,12,
533,10,Oct 26 2019,3:30 PM,Sat,Miami (OH),23,@,Kent State,16,
534,10,Oct 26 2019,7:30 PM,Sat,(19) Michigan,45,,(8) Notre Dame,14,
535,10,Oct 26 2019,3:30 PM,Sat,Middle Tennessee State,50,,Florida International,17,
536,10,Oct 26 2019,3:30 PM,Sat,(17) Minnesota,52,,Maryland,10,
537,10,Oct 26 2019,3:30 PM,Sat,Navy,41,,Tulane,38,
538,10,Oct 26 2019,4:00 PM,Sat,North Carolina,20,,Duke,17,
539,10,Oct 26 2019,3:30 PM,Sat,Northern Illinois,49,,Akron,0,
540,10,Oct 26 2019,2:00 PM,Sat,Ohio,34,@,Ball State,21,
541,10,Oct 26 2019,12:00 PM,Sat,(3) Ohio State,38,,(13) Wisconsin,7,
542,10,Oct 26 2019,3:30 PM,Sat,Oklahoma State,34,@,(23) Iowa State,27,
543,10,Oct 26 2019,10:30 PM,Sat,(11) Oregon,37,,Washington State,35,
544,10,Oct 26 2019,3:30 PM,Sat,(6) Penn State,28,@,Michigan State,7,
545,10,Oct 26 2019,12:00 PM,Sat,Rutgers,44,,Liberty,34,
546,10,Oct 26 2019,10:30 PM,Sat,San Diego State,20,@,Nevada-Las Vegas,17,
547,10,Oct 26 2019,12:00 PM,Sat,San Jose State,34,@,Army,29,
548,10,Oct 26 2019,3:45 PM,Sat,South Florida,45,@,East Carolina,20,
549,10,Oct 26 2019,1:00 PM,Sat,Southern Mississippi,20,@,Rice,6,
550,10,Oct 26 2019,3:30 PM,Sat,Stanford,41,,Arizona,31,
551,10,Oct 26 2019,4:00 PM,Sat,Tennessee,41,,South Carolina,21,
552,10,Oct 26 2019,12:00 PM,Sat,Texas A&M,49,,Mississippi State,30,
553,10,Oct 26 2019,3:30 PM,Sat,Texas Christian,37,,(15) Texas,27,
554,10,Oct 26 2019,3:30 PM,Sat,Toledo,37,,Eastern Michigan,34,
555,10,Oct 26 2019,7:30 PM,Sat,UCLA,42,,(24) Arizona State,32,
556,10,Oct 26 2019,10:00 PM,Sat,(12) Utah,35,,California,0,
557,10,Oct 26 2019,12:00 PM,Sat,Western Michigan,49,,Bowling Green State,10,
558,10,Oct 26 2019,2:00 PM,Sat,Wyoming,31,,Nevada,3,
559,11,Oct 31 2019,8:00 PM,Thu,(12) Baylor,17,,West Virginia,14,
560,11,Oct 31 2019,8:00 PM,Thu,Georgia Southern,24,@,(20) Appalachian State,21,
561,11,Nov 1 2019,8:00 PM,Fri,Navy,56,@,Connecticut,10,
562,11,Nov 2 2019,3:30 PM,Sat,Air Force,17,,Army,13,
563,11,Nov 2 2019,3:30 PM,Sat,Arkansas State,48,@,Louisiana-Monroe,41,
564,11,Nov 2 2019,7:00 PM,Sat,(11) Auburn,20,,Mississippi,14,
565,11,Nov 2 2019,10:30 PM,Sat,(21) Boise State,52,@,San Jose State,42,
566,11,Nov 2 2019,12:00 PM,Sat,Boston College,58,@,Syracuse,27,
567,11,Nov 2 2019,2:00 PM,Sat,Bowling Green State,35,,Akron,6,
568,11,Nov 2 2019,10:00 PM,Sat,Brigham Young,42,@,Utah State,14,
569,11,Nov 2 2019,12:00 PM,Sat,Buffalo,43,@,Eastern Michigan,14,
570,11,Nov 2 2019,12:00 PM,Sat,Central Florida,44,,Houston,29,
571,11,Nov 2 2019,12:00 PM,Sat,Central Michigan,48,,Northern Illinois,10,
572,11,Nov 2 2019,3:30 PM,Sat,Charlotte,34,,Middle Tennessee State,20,
573,11,Nov 2 2019,7:00 PM,Sat,(17) Cincinnati,46,@,East Carolina,43,
574,11,Nov 2 2019,4:00 PM,Sat,(4) Clemson,59,,Wofford,14,
575,11,Nov 2 2019,3:00 PM,Sat,Coastal Carolina,36,,Troy,35,
576,11,Nov 2 2019,3:30 PM,Sat,Colorado State,37,,Nevada-Las Vegas,17,
577,11,Nov 2 2019,4:00 PM,Sat,Florida Atlantic,35,@,Western Kentucky,24,
578,11,Nov 2 2019,12:00 PM,Sat,Florida International,24,,Old Dominion,17,
579,11,Nov 2 2019,11:59 PM,Sat,Fresno State,41,@,Hawaii,38,
580,11,Nov 2 2019,3:30 PM,Sat,(8) Georgia,24,,(6) Florida,17,TIAA Bank Field - Jacksonville Florida
581,11,Nov 2 2019,3:30 PM,Sat,Illinois,38,,Rutgers,10,
582,11,Nov 2 2019,7:00 PM,Sat,Indiana,34,,Northwestern,3,
583,11,Nov 2 2019,3:30 PM,Sat,(22) Kansas State,38,@,Kansas,10,
584,11,Nov 2 2019,12:00 PM,Sat,Liberty,63,@,Massachusetts,21,
585,11,Nov 2 2019,5:00 PM,Sat,Louisiana,31,,Texas State,3,
586,11,Nov 2 2019,3:30 PM,Sat,Marshall,20,@,Rice,7,
587,11,Nov 2 2019,7:30 PM,Sat,(24) Memphis,54,,(15) Southern Methodist,48,
588,11,Nov 2 2019,3:30 PM,Sat,Miami (FL),27,@,Florida State,10,
589,11,Nov 2 2019,12:00 PM,Sat,(14) Michigan,38,@,Maryland,7,
590,11,Nov 2 2019,4:00 PM,Sat,Mississippi State,54,@,Arkansas,24,
591,11,Nov 2 2019,10:30 PM,Sat,Nevada,21,,New Mexico,10,
592,11,Nov 2 2019,3:30 PM,Sat,North Texas,52,,Texas-El Paso,26,
593,11,Nov 2 2019,2:30 PM,Sat,(16) Notre Dame,21,,Virginia Tech,20,
594,11,Nov 2 2019,3:30 PM,Sat,Oklahoma State,34,,Texas Christian,27,
